.geo,LST,NDVI,NDBI,Albedo,Elevation,Population,LULC,AirTemp,dewPoint,WindSpeed,Rainfall,WaterDistance,BuiltupDensity
"{""type"":""Point"",""coordinates"":[76.81526009907378,28.570584430840455]}",38.37343298000002,0.023692445239159587,-0.03372333103922918,10150.5,221,11.681441307067871,60,29.700708594689047,,0.7103398300014433,598.1908253356814,1088,2
"{""type"":""Point"",""coordinates"":[77.16505522388019,28.768238097405284]}",39.041655890000015,0.14900947459086994,-0.0029275468922397943,14421.416666666666,206,51.487953186035156,40,29.43734524905028,,0.983077625890405,766.8965496197343,25,2
"{""type"":""Point"",""coordinates"":[76.99457479391593,28.57665409108131]}",43.14840692000001,0.2422896915876635,-0.026597783262559214,13409.5,214,24.697538375854492,60,29.6416739607032,,0.7586378668803309,620.8853552788496,3172,2
"{""type"":""Point"",""coordinates"":[76.85438880063931,28.656076361925614]}",42.53829035000001,0.3975549015168667,-0.05849307495779235,13549.083333333334,214,2.713920831680298,40,29.60546245085891,,0.7732941245550061,610.265039563179,785,2
"{""type"":""Point"",""coordinates"":[76.9935515899008,28.739734943333687]}",39.66886255999998,0.19637534279241683,-0.01657336939430153,13351.583333333334,215,82.03256225585938,40,29.57816699241107,,0.8131034122325186,643.5060963388532,373,2
"{""type"":""Point"",""coordinates"":[77.14611960315801,28.45010510723796]}",39.598793150000006,0.11040856031128404,-0.010991811896645108,13363.583333333334,264,54.24482727050781,50,29.417867656330486,,0.748679270676576,660.538053491314,661,2
"{""type"":""Point"",""coordinates"":[77.189676630896,28.81087464409674]}",37.00109795000003,0.11770726714431934,-0.01045823143261681,13350.166666666666,209,6.204738140106201,40,29.43734524905028,,0.983077625890405,783.6257950719446,202,2
"{""type"":""Point"",""coordinates"":[77.13751809958434,28.764526475379753]}",41.473577120000016,0.1644575355915562,0.013064492973248895,13629.75,210,77.79568481445312,50,29.49730457683188,,0.9355006302638761,759.1349813146517,776,5
"{""type"":""Point"",""coordinates"":[77.36030537516227,28.792229797391883]}",38.325580700000046,0.24755944931163956,-0.025191405285255618,13240.833333333334,216,6.781249523162842,40,29.264820101671603,,1.0352820182969376,807.6676713582128,3284,2
"{""type"":""Point"",""coordinates"":[77.16761381722478,28.774096390611597]}",38.53920694999999,0.4064485761355613,-0.019639127407751217,13901.416666666666,204,38.40874481201172,60,29.43734524905028,,0.983077625890405,766.8965496197343,100,6
"{""type"":""Point"",""coordinates"":[77.06650191183293,28.758880917101177]}",38.899808060000055,0.19050077439339183,-0.03452104902184918,12921.25,218,39.68614196777344,50,29.49730457683188,,0.9355006302638761,725.642471941188,522,2
"{""type"":""Point"",""coordinates"":[77.2089106445321,28.743813775989615]}",33.742015880000054,0.7163871726978523,-0.1398243877103858,11763.166666666666,209,50.323699951171875,10,29.41987086145872,,0.9152883168635729,799.2617366053164,45,2
"{""type"":""Point"",""coordinates"":[76.92213691633849,28.65837988883998]}",41.844432289999986,0.2441073512252042,-0.038593866866118175,13664.75,215,4.767364978790283,40,29.60546245085891,,0.7732941245550061,632.5084258504212,26,2
